Term,Source
Synaptic Vesicle Pathway WP2267,Wiki
Regulation Of Vesicle-Mediated Transport (GO:0060627),GO
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,Reactome
Disruption of postsynaptic signaling by CNV WP4875,Wiki
Acetylcholine Receptor Signaling Pathway (GO:0095500),GO
CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742,Reactome
Calcium Regulation in the Cardiac Cell WP536,Wiki
Presynaptic Depolarization And Calcium Channel Opening R-HSA-112308,Reactome
Glutamate Neurotransmitter Release Cycle R-HSA-210500,Reactome
Amyloid-Beta Formation (GO:0034205),GO
Signaling By Receptor Tyrosine Kinases R-HSA-9006934,Reactome
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),GO
Mitochondrial Calcium Ion Homeostasis (GO:0051560),GO